id,slug,name_en,name_bn,alternate_names,hydrological_class,water_body_type,water_body_subtype,division,district,upazila,latitude,longitude,transboundary_flag,transboundary_countries,primary_source,source_urls,source_count,data_confidence,last_verified_at,summary,notes
BD-WB-0016,benipur-baor,Benipur Baor,বেনীপুর বাঁওড়,,LENTIC,Wetland,Baor / Oxbow Lake,,Chuadanga,Jibannagar,23.4500,88.8167,,,,,,,,,
BD-WB-0017,bukbhara-baor,Bukbhara Baor,বুকভরা বাঁওড়,,LENTIC,Wetland,Baor / Oxbow Lake,,Jashore,Jashore Sadar,23.1833,89.1500,,,,,,,,,
BD-WB-0018,jhampa-baor,Jhampa Baor,ঝাঁপা বাঁওড়,,LENTIC,Wetland,Baor / Oxbow Lake,,Jashore,Manirampur,23.0167,89.2333,,,,,,,,,
BD-WB-0019,boga-lake,Boga Lake,বগা লেক,,LENTIC,Lake,Natural Lake,,Bandarban,Ruma,21.9806,92.5347,,,,,,,,,
BD-WB-0020,madhobpur-lake,Madhobpur Lake,মাধবপুর লেক,,LENTIC,Lake,Natural Lake,,Moulvibazar,Kamalganj,24.2333,91.8000,,,,,,,,,
BD-WB-0021,durgasagar,Durgasagar,দুর্গাসাগর,,LENTIC,Lake,Reservoir,,Barishal,Babu Ganj,22.7667,90.2833,,,,,,,,,
BD-WB-0022,ramsagar,Ramsagar,রামসাগর,,LENTIC,Lake,Reservoir,,Dinajpur,Dinajpur Sadar,25.5539,88.6247,,,,,,,,,
BD-WB-0023,kaptai-lake,Kaptai Lake,কাপ্তাই হ্রদ,,LENTIC,Lake,Reservoir,,Rangamati,Kaptai / Rangamati Sadar,22.5000,92.2167,,,,,,,,,
BD-WB-0024,mahamaya-lake,Mahamaya Lake,মহামায়া লেক,,LENTIC,Lake,Reservoir,,Chattogram,Mirsharai,22.8167,91.5667,,,,,,,,,
BD-WB-0025,hatirjheel,Hatirjheel,হাতিরঝিল,,LENTIC,Lake,Urban Jheel / Lake,,Dhaka,Tejgaon / Rampura,23.7583,90.4125,,,,,,,,,
BD-WB-0026,kasalong,Kasalong,কাছালং,,LOTIC,River,Hill River,,,,,,false,,,,,,,,
BD-WB-0027,bangshi,Bangshi,বংশী,,LOTIC,River,Tributary,,,,,,false,,Banglapedia,https://en.banglapedia.org/index.php/River,1,,,,
BD-WB-0028,dharla,Dharla,ধরলা,,LOTIC,River,Tributary,,,,,,true,,,,,,,,
BD-WB-0029,dudhkumar,Dudhkumar,দুধকুমার,,LOTIC,River,Tributary,,,,,,true,,,,,,,,
BD-WB-0030,kangsha,Kangsha,কংস,,LOTIC,River,Tributary,,,,,,false,,,,,,,,
BD-WB-0031,sutang,Sutang,সুতাং,,LOTIC,River,Tributary,,,,,,true,,,,,,,,
BD-WB-0032,halda,Halda,হালদা,,LOTIC,River,Tributary (Freshwater Breeding),,,,,,false,,,,,,,,
BD-WB-0033,titas,Titas,তিতাস,,LOTIC,River,Tributary / Distributary,,,,,,true,,,,,,,,
BD-WB-0034,karatoa-north-south,Karatoa (North & South),করতোয়া,,LOTIC,River,Tributary Network,,,,,,true,,,,,,,,
BD-WB-0035,atrai,Atrai,আত্রাই,,LOTIC,River,Transboundary Tributary,,,,,,true,,,,,,,,
BD-WB-0036,jadukata,Jadukata,জাদুকাটা,,LOTIC,River,Transboundary Tributary,,,,,,true,,,,,,,,
BD-WB-0037,khowai,Khowai,খোয়াই,,LOTIC,River,Transboundary Tributary,,,,,,true,,,,,,,,
BD-WB-0038,mahananda,Mahananda,মহানন্দা,,LOTIC,River,Transboundary Tributary,,,,,,true,,,,,,,,
BD-WB-0039,manu,Manu,মনু,,LOTIC,River,Transboundary Tributary,,,,,,true,,,,,,,,
BD-WB-0040,piyain,Piyain,পিয়াইন,,LOTIC,River,Transboundary Tributary,,,,,,true,,,,,,,,
BD-WB-0041,punarbhaba,Punarbhaba,পুনর্ভবা,,LOTIC,River,Transboundary Tributary,,,,,,true,,Banglapedia,https://en.banglapedia.org/index.php/River,1,,,,
BD-WB-0042,sari-goyain,Sari-Goyain,সারী-গোয়াইন,,LOTIC,River,Transboundary Tributary,,,,,,true,,,,,,,,
BD-WB-0043,someswari,Someswari,সোমেশ্বরী,,LOTIC,River,Transboundary Tributary,,,,,,true,,,,,,,,
BD-WB-0044,arial-khan,Arial Khan,আড়িয়াল খাঁ,,LOTIC,River,Distributary,,,,,,false,,Banglapedia,https://en.banglapedia.org/index.php/River,1,,,,
BD-WB-0045,bhairab,Bhairab,ভৈরব,,LOTIC,River,Distributary,,,,,,false,,Banglapedia,https://en.banglapedia.org/index.php/River,1,,,,
BD-WB-0046,chitra,Chitra,চিত্রা,,LOTIC,River,Distributary,,,,,,false,,Banglapedia,https://en.banglapedia.org/index.php/River,1,,,,
BD-WB-0047,dhaleshwari,Dhaleshwari,ধলেশ্বরী,,LOTIC,River,Distributary,,,,,,false,,Banglapedia,https://en.banglapedia.org/index.php/River,1,,,,
BD-WB-0048,gorai,Gorai,গড়াই,,LOTIC,River,Distributary,,,,,,false,,Banglapedia,https://en.banglapedia.org/index.php/River,1,,,,
BD-WB-0049,kopotakho-kabadak,Kopotakho (Kabadak),কপোতাক্ষ,,LOTIC,River,Distributary,,,,,,false,,Banglapedia,https://en.banglapedia.org/index.php/River,1,,,,
BD-WB-0050,mathabhanga,Mathabhanga,মাথাভাঙ্গা,,LOTIC,River,Distributary,,,,,,true,,Banglapedia,https://en.banglapedia.org/index.php/River,1,,,,
BD-WB-0051,nabaganga,Nabaganga,নবগঙ্গা,,LOTIC,River,Distributary,,,,,,false,,Banglapedia,https://en.banglapedia.org/index.php/River,1,,,,
BD-WB-0052,old-brahmaputra,Old Brahmaputra,পুরাতন ব্রহ্মপুত্র,,LOTIC,River,Distributary,,,,,,false,,Banglapedia,https://en.banglapedia.org/index.php/River,1,,,,
BD-WB-0053,bangali,Bangali,বাঙালী,,LOTIC,River,Distributary / Tributary,,,,,,false,,,,,,,,
BD-WB-0054,buriganga,Buriganga,বুড়িগঙ্গা,,LOTIC,River,Distributary / Urban River,,,,,,false,,Banglapedia,https://en.banglapedia.org/index.php/River,1,,,,
BD-WB-0055,shitalakshya,Shitalakshya,শীতলক্ষ্যা,,LOTIC,River,Distributary / Urban River,,,,,,false,,,,,,,,
BD-WB-0056,turag,Turag,তুরাগ,,LOTIC,River,Distributary / Urban River,,,,,,false,,,,,,,,
BD-WB-0057,kushiyara,Kushiyara,কুশিয়ারা,,LOTIC,River,Major Branch / Network,,,,,,true,,Banglapedia,https://en.banglapedia.org/index.php/River,1,,,,
BD-WB-0058,surma,Surma,সুরমা,,LOTIC,River,Major Branch / Network,,,,,,true,,,,,,,,
BD-WB-0059,begabati,Begabati,বেগবতী,,LOTIC,River,River (Seasonal),,Magura,Magura Sadar,,,false,,,,,,,,
BD-WB-0060,bhadra,Bhadra,ভদ্রা,,LOTIC,River,River (Seasonal),,Jessore; Khulna,Keshabpur; Dacope; Dumuria,,,false,,Banglapedia,https://en.banglapedia.org/index.php/River,1,,,,
BD-WB-0061,dhala,Dhala,ধলা,,LOTIC,River,River (Seasonal),,Sylhet,Companiganj,,,true,Tripura Hills; India,,,,,,,
BD-WB-0062,dhepa,Dhepa,ধেপা,,LOTIC,River,River (Seasonal),,Dinajpur,Kaharole,,,false,,,,,,,,
BD-WB-0063,ghoramara,Ghoramara,ঘোড়ামারা,,LOTIC,River,River (Seasonal),,Panchagarh,Panchagarh Sadar,,,true,India,,,,,,,
BD-WB-0064,hawrah,Hawrah,হাওড়া,,LOTIC,River,River (Seasonal),,Brahmanbaria,Akhaura,,,true,Tripura Hills; India,Banglapedia,SW258 (Mandi),1,,,,
BD-WB-0065,jhenai,Jhenai,ঝিনাই,,LOTIC,River,River (Seasonal),,Jamalpur; Tangail,Melandaha; Sarishabari; Kalihati,,,false,,Banglapedia,Jamuna River,1,,,,
BD-WB-0066,kakri,Kakri,কাকড়ী,,LOTIC,River,River (Seasonal),,Cumilla,Chauddagram,,,true,Tripura; India,,,,,,,
BD-WB-0067,nitai,Nitai,নিতাই,,LOTIC,River,River (Seasonal),,Mymensingh,Dhobaura,,,true,Meghalaya; India,,,,,,,
BD-WB-0068,pagla,Pagla,পাগলা,,LOTIC,River,River (Seasonal),,Nawabganj,Shibganj,,,true,West Bengal; India,,,,,,,
BD-WB-0069,sonai-bardal,Sonai-Bardal,সোনাই-বরদল,,LOTIC,River,River (Seasonal),,Sylhet,Fenchuganj,,,true,Tripura Hills; India,,,,,,,
BD-WB-0070,tangon,Tangon,টাংগন,,LOTIC,River,River (Seasonal),,Dinajpur; Thakurgaon,Bochaganj; Thakurgaon,,,true,West Bengal; India,,,,,,,
BD-WB-0071,tongi-khal,Tongi Khal,টংগী খাল,,LOTIC,River,River (Seasonal),,Dhaka,Uttara,,,false,,Banglapedia,Turag River,1,,,,
BD-WB-0072,brahmaputra-jamuna,Brahmaputra-Jamuna,ব্রহ্মপুত্র-যমুনা,,LOTIC,River,River (Perennial),,Bogura; Gaibandha; Jamalpur; Kurigram; Manikganj; Pabna; Sirajganj; Tangail,Shariakandi; Fulchhari; Saghatta; Islampur; Sarishabari; Chilmari; Kurigram Sadar; Ulipur; Shivalaya; Bera; Kazipur; Sirajganj Sadar; Tangail Sadar,,,true,Tibet / India,Banglapedia,https://en.banglapedia.org/index.php/River,1,,,,
BD-WB-0073,dakatia,Dakatia,ডাকাতিয়া,,LOTIC,River,River (Perennial),,Chandpur,Hajiganj,,,false,,Banglapedia,https://en.banglapedia.org/index.php/River,1,,,,
BD-WB-0074,dhanagoda,Dhanagoda,ধনাগোদা,,LOTIC,River,River (Perennial),,Chandpur,Matlab Uttar,,,false,,,,,,,,
BD-WB-0075,ganges-padma,Ganges (Padma),গঙ্গা (পদ্মা),,LOTIC,River,River (Perennial),,Kushtia; Manikganj; Munshiganj; Nawabganj; Pabna; Rajbari; Rajshahi; Shariatpur,Mirpur; Harirampur; Lohajang; Sreenagar; Shibganj; Ishwardi; Goalandaghat; Pangsha; Rajbari Sadar; Boalia; Charghat; Naria,,,true,Himalayas / India,Banglapedia,https://en.banglapedia.org/index.php/River,1,,,,
BD-WB-0076,ichamati-rangamati,Ichamati (Rangamati),ইছামতী (রাঙ্গামাটি),,LOTIC,River,River (Perennial),,Chattogram,Rangunia,,,false,,,,,,,,
BD-WB-0077,juri,Juri,জুড়ী,,LOTIC,River,River (Perennial),,Moulvibazar,Juri; Moulvibazar Sadar,,,true,Tripura; India,,,,,,,
BD-WB-0078,karnafuli,Karnafuli,কর্ণফুলী,,LOTIC,River,River (Perennial),,Chattogram; Rangamati,Chittagong Sadar; Barkal,,,false,,Banglapedia,https://en.banglapedia.org/index.php/River,1,,,,
BD-WB-0079,katakhali,Katakhali,কাটাখালি,,LOTIC,River,River (Perennial),,Gaibandha,Gobindaganj,,,false,,,,,,,,
BD-WB-0080,kobadak,Kobadak,কপোতাক্ষ,,LOTIC,River,River (Perennial),,Chuadanga; Jessore; Khulna; Satkhira,Jjbannagar; Chaugachha; Jhikargachha; Koyra; Paikgachha; Tala,,,false,,Banglapedia,https://en.banglapedia.org/index.php/River,1,,,,
BD-WB-0081,korangi,Korangi,কোরাঙ্গী,,LOTIC,River,River (Perennial),,Habiganj,Bahubal,,,false,,,,,,,,
BD-WB-0082,lohalia,Lohalia,লোহালিয়া,,LOTIC,River,River (Perennial),,Barisal,Bakerganj,,,false,,,,,,,,
BD-WB-0083,pathraj,Pathraj,পাথরাজ,,LOTIC,River,River (Perennial),,Panchagarh,Boda,,,false,,,,,,,,
BD-WB-0084,salda,Salda,সালদা,,LOTIC,River,River (Perennial),,Cumilla,Brahmanpara,,,false,Tripura Hills; India,Banglapedia,SW258 (Mandi),1,,,,
BD-WB-0085,sari-gowain,Sari Gowain,,,LOTIC,River,River (Perennial),,Sylhet,Gowainghat; Jaintiapur; Sylhet Sadar,,,true,,,,,,,,
BD-WB-0086,selonia,Selonia,,,LOTIC,River,River (Perennial),,Feni,Chhagalnaiya; Parshuram,,,true,,,,,,,,
BD-WB-0087,sonai,Sonai,,,LOTIC,River,River (Perennial),,Habiganj,Madhabpur,,,true,,,,,,,,
BD-WB-0088,talma,Talma,,,LOTIC,River,River (Perennial),,Panchagarh,Panchagarh Sadar,,,true,,,,,,,,
BD-WB-0089,bakkhali,Bakkhali,বাঁকখালী,,LOTIC,River,Coastal River,,,,,,false,,,,,,,,
BD-WB-0090,feni,Feni,ফেনী,,LOTIC,River,Coastal River,,,,,,true,,,,,,,,
BD-WB-0091,karnaphuli,Karnaphuli,কর্ণফুলী,,LOTIC,River,Coastal River,,,,,,true,,Banglapedia,https://en.banglapedia.org/index.php/River,1,,,,
BD-WB-0092,matamuhuri,Matamuhuri,মাতামুহুরী,,LOTIC,River,Coastal River,,,,,,false,,Banglapedia,https://en.banglapedia.org/index.php/River,1,,,,
BD-WB-0093,muhuri,Muhuri,মুহুরী,,LOTIC,River,Coastal River,,,,,,true,,,,,,,,
BD-WB-0094,sangu,Sangu,সাঙ্গু,,LOTIC,River,Coastal River,,,,,,true,,Banglapedia,https://en.banglapedia.org/index.php/River,1,,,,
BD-WB-0095,baleshwar,Baleshwar,বলেশ্বর,,LOTIC,River,Estuarine River,,,,,,false,,,,,,,,
BD-WB-0096,bishkhali,Bishkhali,বিষখালী,,LOTIC,River,Estuarine River,,,,,,false,,,,,,,,
BD-WB-0097,kirtankhola,Kirtankhola,কীর্তনখোলা,,LOTIC,River,Estuarine River,,,,,,false,,,,,,,,
BD-WB-0098,payra-burishwar,Payra (Burishwar),পায়রা,,LOTIC,River,Estuarine River,,,,,,false,,,,,,,,
BD-WB-0099,rupsa-pasur,Rupsa-Pasur,রূপসা-পশুর,,LOTIC,River,Estuarine River,,,,,,false,,Banglapedia,https://en.banglapedia.org/index.php/River,1,,,,
BD-WB-0100,naf,Naf,নাফ,,LOTIC,River,Estuarine / Boundary River,,,,,,true,,,,,,,,
BD-WB-0101,balu,Balu,বালু,,LOTIC,River,Urban River,,,,,,false,,,,,,,,
BD-WB-0102,teesta,Teesta,তিস্তা,,LOTIC,River,Major Tributary,,,,,,true,,Banglapedia,https://en.banglapedia.org/index.php/River,1,,,,
BD-WB-0103,jamuna,Jamuna,যমুনা,,LOTIC,River,Major River,,,,,,true,,Banglapedia,https://en.banglapedia.org/index.php/River,1,,,,
BD-WB-0104,meghna-upper-lower,Meghna (Upper & Lower),মেঘনা,,LOTIC,River,Major River,,,,,,true,,,,,,,,
BD-WB-0105,padma,Padma,পদ্মা,,LOTIC,River,Major River,,,,,,true,,Banglapedia,https://en.banglapedia.org/index.php/River,1,,,,
BD-WB-0106,madhumati,Madhumati,মধুমতী,Gorai-Madhumati (lower course),LOTIC,River,Major Distributary,,,,,,false,,BWDB | Banglapedia,https://en.bwdb.gov.bd/rivers-information|https://en.banglapedia.org/index.php/Gorai-Madhumati_River,2,high,2026-08-30,,"Banglapedia's 371 km figure is for the combined Gorai-Madhumati-Baleshwar system, not Madhumati alone."
BD-WB-0107,baral,Baral,বড়াল,,LOTIC,River,Distributary,,,,,,false,,BWDB | Banglapedia,https://en.bwdb.gov.bd/rivers-information|https://en.banglapedia.org/index.php/Baral_River,2,high,2026-08-30,,
BD-WB-0108,gumti,Gumti,গোমতী,Gomti,LOTIC,River,Transboundary River,,Cumilla,,,,true,India,BWDB | Banglapedia,https://en.bwdb.gov.bd/rivers-information|https://en.banglapedia.org/index.php/Gumti_River,2,high,2026-08-30,,
BD-WB-0109,dhanu,Dhanu,ধনু,Dhanu-Baulai-Ghorautra system,LOTIC,River,Major Haor River,,,,,,false,,BWDB | Banglapedia,https://en.bwdb.gov.bd/rivers-information|https://en.banglapedia.org/index.php/River,2,medium,2026-08-30,,Banglapedia's 235 km value is for the combined Dhanu-Baulai-Ghorautra system.
BD-WB-0110,kalni,Kalni,কালনী,,LOTIC,River,Haor / Meghna Network River,,,,,,false,,BWDB,https://en.bwdb.gov.bd/rivers-information,1,high,2026-08-30,,
BD-WB-0111,tentulia,Tentulia,তেঁতুলিয়া,Tetulia,LOTIC,River,Lower Meghna Distributary / Estuarine River,,,,,,false,,BWDB | Banglapedia,https://en.bwdb.gov.bd/rivers-information|https://en.banglapedia.org/index.php/Tentulia_River,2,high,2026-08-30,,
BD-WB-0112,kumar,Kumar,কুমার,,LOTIC,River,Distributary,,,,,,false,,BWDB | Banglapedia,https://en.bwdb.gov.bd/rivers-information|https://en.banglapedia.org/index.php/Kumar_River|https://en.banglapedia.org/index.php/River,3,medium,2026-08-30,,Banglapedia article gives about 144 km; its major-rivers table lists 162 km.
BD-WB-0113,ichamati-kalindi,Ichamati-Kalindi,ইছামতী-কালিন্দী,Ichamati | Kalindi,LOTIC,River,Transboundary / Boundary River,,,,,,true,India,BWDB | Banglapedia,https://en.bwdb.gov.bd/rivers-information|https://en.banglapedia.org/index.php/Ichamati_River|https://en.banglapedia.org/index.php/Kalindi-Jamuna_River,3,high,2026-08-30,,
BD-WB-0114,raimangal,Raimangal,রায়মঙ্গল,Raymangal,LOTIC,River,Estuarine / Boundary River,,,,,,true,India,BWDB | Banglapedia,https://en.bwdb.gov.bd/rivers-information|https://en.banglapedia.org/index.php/Raymangal_River,2,high,2026-08-30,,
BD-WB-0115,pashur,Pashur,পশুর,Pasur,LOTIC,River,Estuarine River,,,,,,false,,BWDB | Banglapedia,https://en.bwdb.gov.bd/rivers-information|https://en.banglapedia.org/index.php/River,2,medium,2026-08-30,,Banglapedia's 141 km figure is for the combined Rupsa-Pasur system.
BD-WB-0116,andhar-manik,Andhar Manik,আন্ধারমানিক,Andharmanik,LOTIC,River,Coastal River,,Patuakhali,,,,false,,BWDB,https://en.bwdb.gov.bd/rivers-information,1,high,2026-08-30,,
BD-WB-0117,betna,Betna,বেতনা,Betna-Kodalia | Betna-Kholpetua,LOTIC,River,Tidal / Transboundary River,,,,,,true,India,BWDB | Banglapedia,https://en.bwdb.gov.bd/rivers-information|https://en.banglapedia.org/index.php/Betna_River|https://en.banglapedia.org/index.php/River,3,medium,2026-08-30,,Banglapedia article gives about 192 km; major-rivers table lists 191 km for Betna-Kholpotua.
BD-WB-0118,ghaghat,Ghaghat,ঘাঘট,,LOTIC,River,Distributary,,,,,,false,,BWDB | Banglapedia,https://en.bwdb.gov.bd/rivers-information|https://en.banglapedia.org/index.php/Ghaghat_River|https://en.banglapedia.org/index.php/River,3,high,2026-08-30,,
BD-WB-0119,chandana-barasia,Chandana-Barasia,চন্দনা-বারাসিয়া,Chandana | Chandana-Arkandi,LOTIC,River,Distributary,,,,,,false,,Banglapedia,https://en.banglapedia.org/index.php/Chandana_River,1,medium,2026-08-30,,Approx. 100 km derived from the course segments described by Banglapedia.
BD-WB-0120,little-feni,Little Feni,ছোট ফেনী,,LOTIC,River,Transboundary River,,,,,,true,India,Banglapedia,https://en.banglapedia.org/index.php/Little_Feni_River|https://en.banglapedia.org/index.php/River,2,medium,2026-08-30,,Banglapedia's 195 km value is for the combined Little Feni-Dakatia system.
BD-WB-0121,kacha,Kacha,কচা,,LOTIC,River,Coastal / Tidal River,,,,,,false,,BWDB,https://en.bwdb.gov.bd/rivers-information,1,high,2026-08-30,,
BD-WB-0122,sandhya,Sandhya,সন্ধ্যা,,LOTIC,River,Southern Delta River,,,,,,false,,BWDB,https://en.bwdb.gov.bd/rivers-information,1,high,2026-08-30,,
BD-WB-0123,panguchi,Panguchi,পানগুছি,,LOTIC,River,Tidal River,,,,,,false,,BWDB,https://en.bwdb.gov.bd/rivers-information,1,high,2026-08-30,,
BD-WB-0124,rabnabad,Rabnabad,রাবনাবাদ,Ramnabad,LOTIC,River,Estuarine River,,,,,,false,,BWDB,https://en.bwdb.gov.bd/rivers-information,1,high,2026-08-30,,
BD-WB-0125,bhogai-kangsha,Bhogai-Kangsha,ভোগাই-কংস,Bhogai | Kangsha | Bhogai-Kangsa,LOTIC,River,Transboundary River System,,,,,,true,India,BWDB | Banglapedia,https://en.bwdb.gov.bd/rivers-information|https://en.banglapedia.org/index.php/River,2,high,2026-08-30,,Overlaps conceptually with existing Kangsha row; retain only if the dataset models named river systems separately.
BD-WB-0126,hurasagar,Hurasagar,হুরাসাগর,Hura Sagor,LOTIC,River,Confluence / Drainage River,,,,,,false,,BWDB | Banglapedia,https://en.bwdb.gov.bd/rivers-information|https://en.banglapedia.org/index.php/Hurasagar_River,2,high,2026-08-30,,
BD-WB-0127,kaliganga-manikganj,Kaliganga (Manikganj),কালীগঙ্গা (মানিকগঞ্জ),,LOTIC,River,Distributary / Regional River,,,,,,false,,BWDB,https://en.bwdb.gov.bd/rivers-information,1,high,2026-08-30,,
BD-WB-0128,shibsa,Shibsa,শিবসা,Sibsa,LOTIC,River,Tidal / Estuarine River,,,,,,false,,BWDB | Banglapedia,https://en.bwdb.gov.bd/rivers-information|https://en.banglapedia.org/index.php/River,2,high,2026-08-30,,
BD-WB-0129,kholpetua,Kholpetua,খোলপেটুয়া,Kholpettua | Kholpotua,LOTIC,River,Tidal / Estuarine River,,,,,,false,,BWDB | Banglapedia,https://en.bwdb.gov.bd/rivers-information|https://en.banglapedia.org/index.php/River,2,high,2026-08-30,,
BD-WB-0130,sugandha,Sugandha,সুগন্ধা,,LOTIC,River,Southern Delta River,,,,,,false,,BWDB | Banglapedia,https://en.bwdb.gov.bd/rivers-information|https://en.banglapedia.org/index.php/Bishkhali_River,2,high,2026-08-30,,
BD-WB-0131,narasunda,Narasunda,নরসুন্দা,,LOTIC,River,Old Brahmaputra Network River,,,,,,false,,BWDB,https://en.bwdb.gov.bd/rivers-information,1,high,2026-08-30,,
BD-WB-0132,jingiram,Jingiram,জিঞ্জিরাম,Jinjiram,LOTIC,River,Regional River,,,,,,false,,BWDB,https://en.bwdb.gov.bd/rivers-information,1,high,2026-08-30,,
BD-WB-0133,chengi,Chengi,চেঙ্গী,Chingri (Chengi),LOTIC,River,Hill River,,,,,,false,,BWDB | Banglapedia,https://en.bwdb.gov.bd/rivers-information|https://en.banglapedia.org/index.php/River,2,high,2026-08-30,,
BD-WB-0134,maini,Maini,মাইনী,Minee,LOTIC,River,Hill River,,,,,,false,,BWDB | Banglapedia,https://en.bwdb.gov.bd/rivers-information|https://en.banglapedia.org/index.php/River,2,medium,2026-08-30,,BWDB lists the river as 'Minee'; Maini is the commonly used spelling.
BD-WB-0135,atharabanki,Atharabanki,আঠারবাঁকী,Atharabaki,LOTIC,River,Southwestern River,,,,,,false,,BWDB,https://en.bwdb.gov.bd/rivers-information,1,high,2026-08-30,,
BD-WB-0136,arial-khan-narsingdi,Arial Khan (Narsingdi),আড়িয়াল খাঁ (নরসিংদী),,LOTIC,River,Regional River,,,,,,false,,BWDB,https://en.bwdb.gov.bd/rivers-information,1,high,2026-08-30,,Distinct BWDB river entry from the southern Arial Khan.
BD-WB-0137,ghaghar,Ghaghar,ঘাঘর,,LOTIC,River,Regional River,,,,,,false,,Banglapedia,https://en.banglapedia.org/index.php/River,1,medium,2026-08-30,,Included as a regionally important river; detailed BWDB matching should be reviewed during later enrichment.
BD-WB-0138,banar,Banar,বানার,,LOTIC,River,Old Brahmaputra / Shitalakshya Network River,,,,,,false,,Banglapedia,https://en.banglapedia.org/index.php/River,1,medium,2026-08-30,,
BD-WB-0139,mongla,Mongla,মোংলা,,LOTIC,River,Tidal River,,,,,,false,,BWDB,https://en.bwdb.gov.bd/rivers-information,1,high,2026-08-30,,
BD-WB-0140,agunmukha,Agunmukha,আগুনমুখা,,LOTIC,River,Estuarine / Coastal River,,,,,,false,,Banglapedia,https://en.banglapedia.org/index.php/River,1,medium,2026-08-30,,
BD-WB-0141,shahbazpur-channel,Shahbazpur Channel,শাহবাজপুর চ্যানেল,Shahbazpur River,LOTIC,River,Lower Meghna Estuarine Channel,,,,,,false,,Banglapedia,https://en.banglapedia.org/index.php/River,1,medium,2026-08-30,,
