id,slug,name_en,name_bn,alternate_names,water_body_type,water_body_subtype,division,district,upazila,latitude,longitude,area_monsoon_sqkm,area_dry_sqkm,length_km_bd,length_km_total,avg_width_m,max_depth_m,mean_discharge_m3s,water_volume_est,hydrological_origin,outfall_to,basin_name,river_system,flow_regime,seasonality,transboundary_flag,transboundary_countries,divisions_traversed,districts_traversed,bwdb_gauging_stations,ramsar_site,protected_status,ecological_importance,major_species,fish_breeding_importance,flood_importance,irrigation_importance,navigation_importance,hydropower_importance,drinking_water_importance,pollution_status,major_threats,banglapedia_match_name,banglapedia_length_km,banglapedia_area_covered_old_districts,banglapedia_source,wikidata_id,wikipedia_url,osm_relation_id,primary_source,source_urls,source_count,data_confidence,last_verified_at,summary,notes
BD-WB-0012,nikli-haor,Nikli Haor,নিকলী হাওর,,Wetland,Haor,,Kishoreganj,Nikli,24.3167,90.9333,45.00,12.00,,,,,,Seasonal flood storage,,,,,,Seasonal flood storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0013,shanir-haor,Shanir Haor,শনির হাওর,,Wetland,Haor,,Sunamganj,Tahiyapur / Jamalganj,25.1167,91.2000,60.00,18.00,,,,,,High seasonal storage,,,,,,High seasonal storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0014,tanguar-haor,Tanguar Haor,টাঙ্গুয়ার হাওর,,Wetland,Haor,,Sunamganj,Tahirpur / Dharmapasha,25.1500,91.0667,100.00,28.00,,,,,,High seasonal storage,,,,,,High seasonal storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0015,baluhar-baor,Baluhar Baor,বালুহর বাঁওড়,,Wetland,Baor / Oxbow Lake,,Jhenaidah,Kotchandpur,23.4167,89.0167,2.80,2.10,,,,,,Perennial oxbow basin,,,,,,Perennial oxbow basin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0016,benipur-baor,Benipur Baor,বেনীপুর বাঁওড়,,Wetland,Baor / Oxbow Lake,,Chuadanga,Jibannagar,23.4500,88.8167,1.20,0.95,,,,,,Perennial oxbow basin,,,,,,Perennial oxbow basin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0017,bukbhara-baor,Bukbhara Baor,বুকভরা বাঁওড়,,Wetland,Baor / Oxbow Lake,,Jashore,Jashore Sadar,23.1833,89.1500,1.40,1.10,,,,,,Perennial oxbow basin,,,,,,Perennial oxbow basin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0018,jhampa-baor,Jhampa Baor,ঝাঁপা বাঁওড়,,Wetland,Baor / Oxbow Lake,,Jashore,Manirampur,23.0167,89.2333,1.60,1.30,,,,,,Perennial oxbow basin,,,,,,Perennial oxbow basin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0019,boga-lake,Boga Lake,বগা লেক,,Lake,Natural Lake,,Bandarban,Ruma,21.9806,92.5347,0.06,0.06,,,,,,Constant deep basin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0020,madhobpur-lake,Madhobpur Lake,মাধবপুর লেক,,Lake,Natural Lake,,Moulvibazar,Kamalganj,24.2333,91.8000,0.20,0.18,,,,,,Constant shallow basin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0021,durgasagar,Durgasagar,দুর্গাসাগর,,Lake,Reservoir,,Barishal,Babu Ganj,22.7667,90.2833,0.18,0.18,,,,,,Static artificial reservoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0022,ramsagar,Ramsagar,রামসাগর,,Lake,Reservoir,,Dinajpur,Dinajpur Sadar,25.5539,88.6247,0.15,0.15,,,,,,Static artificial reservoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0023,kaptai-lake,Kaptai Lake,কাপ্তাই হ্রদ,,Lake,Reservoir,,Rangamati,Kaptai / Rangamati Sadar,22.5000,92.2167,736.00,650.00,,,,,,8.25 Million Acre-Feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0024,mahamaya-lake,Mahamaya Lake,মহামায়া লেক,,Lake,Reservoir,,Chattogram,Mirsharai,22.8167,91.5667,11.00,9.50,,,,,,Irrigation storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0025,hatirjheel,Hatirjheel,হাতিরঝিল,,Lake,Urban Jheel / Lake,,Dhaka,Tejgaon / Rampura,23.7583,90.4125,1.20,1.10,,,,,,Regulated urban retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0026,kasalong,Kasalong,কাছালং,,River,Hill River,,,,,,,,120,,50-150,8,160,,Lushai Hills foothills,Kaptai Lake / Karnaphuli River,,,,,false,,Chattogram,Rangamati,SW147 (Kasalong),,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0027,bangshi,Bangshi,বংশী,,River,Tributary,,,,,,,,238,,80-200,9,210,,Jamalpur hills,Dhaleshwari River,,,,,false,,Dhaka,Jamalpur / Tangail / Gazipur / Dhaka,SW14 (Nayarhat),,,,,,,,,,,,,Bangshi,238,Mymensingh (198) Dhaka (40),https://en.banglapedia.org/index.php/River,,,,Banglapedia,https://en.banglapedia.org/index.php/River,1,,,,
BD-WB-0028,dharla,Dharla,ধরলা,,River,Tributary,,,,,,,,75,,150-600,8,400,,Himalayan foothills (Bhutan/India),Jamuna River,,,,,true,,Rangpur,Lalmonirhat / Kurigram,SW68 (Kurigram),,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0029,dudhkumar,Dudhkumar,দুধকুমার,,River,Tributary,,,,,,,,50,,150-400,7,350,,Himalayan foothills (Bhutan/India),Jamuna River,,,,,true,,Rangpur,Kurigram,SW79 (Pateswari),,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0030,kangsha,Kangsha,কংস,,River,Tributary,,,,,,,,225,,80-200,8,340,,Garo Hills foothills,Dhanu River / Meghna network,,,,,false,,Mymensingh,Sherpur / Netrokona,SW143 (Jariajanjail),,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0031,sutang,Sutang,সুতাং,,River,Tributary,,,,,,,,82,,40-100,5,90,,Tripura Hills (India),Meghna River,,,,,true,,Sylhet,Habiganj,SW281 (Shaistaganj),,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0032,halda,Halda,হালদা,,River,Tributary (Freshwater Breeding),,,,,,,,81,,50-150,9,120,,Badnatali Hill Ranges (Ramgarh),Karnaphuli River,,,,,false,,Chattogram,Khagrachari / Chattogram,SW119.1 (Panchpukuria),,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0033,titas,Titas,তিতাস,,River,Tributary / Distributary,,,,,,,,98,,100-300,10,310,,Tripura Hills / Meghna network,Meghna River,,,,,true,,Chattogram,Brahmanbaria,SW296 (Akhaura),,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0034,karatoa-north-south,Karatoa (North & South),করতোয়া,,River,Tributary Network,,,,,,,,187,,50-250,8,260,,Himalayan foothills,Bangali River / Atrai,,,,,true,,Rangpur / Rajshahi,Panchagarh / Dinajpur / Gaibandha / Bogura / Sirajganj,"SW149 (Chak Rahimpur), SW151 (Bogura)",,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0035,atrai,Atrai,আত্রাই,,River,Transboundary Tributary,,,,,,,,390,,100-400,12,350,,Siliguri (West Bengal),Jamuna River / Chalan Beel,,,,,true,,Rangpur / Rajshahi,Panchagarh / Dinajpur / Naogaon / Natore / Pabna,"SW7 (Naogaon), SW9 (Atrai)",,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0036,jadukata,Jadukata,জাদুকাটা,,River,Transboundary Tributary,,,,,,,,35,,100-350,8,310,,Khasi Hills (Meghalaya),Surma River / Haor basin,,,,,true,,Sylhet,Sunamganj,SW129 (Tahjirpur),,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0037,khowai,Khowai,খোয়াই,,River,Transboundary Tributary,,,,,,,,166,,100-250,9,220,,Tripura Hills (India),Kushiyara River,,,,,true,,Sylhet,Habiganj,SW158 (Habiganj),,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0038,mahananda,Mahananda,মহানন্দা,,River,Transboundary Tributary,,,,,,,,36,,150-400,10,420,,Mahaldiram Hills (Himalayas),Padma River,,,,,true,,Rajshahi / Rangpur,Panchagarh / Chapainawabganj,"SW184 (Tetulia), SW186 (Chapainawabganj)",,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0039,manu,Manu,মনু,,River,Transboundary Tributary,,,,,,,,167,,80-200,8,200,,Tripura Hills (India),Kushiyara River,,,,,true,,Sylhet,Moulvibazar,SW197 (Moulvibazar),,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0040,piyain,Piyain,পিয়াইন,,River,Transboundary Tributary,,,,,,,,145,,100-300,7,210,,Omgat River (Meghalaya),Surma River,,,,,true,,Sylhet,Sylhet,SW224 (Jaflong),,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0041,punarbhaba,Punarbhaba,পুনর্ভবা,,River,Transboundary Tributary,,,,,,,,160,,80-200,9,190,,West Bengal (India),Mahananda River,,,,,true,,Rajshahi / Rangpur,Dinajpur / Naogaon / Chapainawabganj,SW237 (Rohanpur),,,,,,,,,,,,,Punarbhaba,160,Dinajpur (80) Rajshahi (80),https://en.banglapedia.org/index.php/River,,,,Banglapedia,https://en.banglapedia.org/index.php/River,1,,,,
BD-WB-0042,sari-goyain,Sari-Goyain,সারী-গোয়াইন,,River,Transboundary Tributary,,,,,,,,56,,80-200,8,190,,Jaintia Hills (Meghalaya),Surma River,,,,,true,,Sylhet,Sylhet,SW255 (Sarighat),,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0043,someswari,Someswari,সোমেশ্বরী,,River,Transboundary Tributary,,,,,,,,50,,100-300,7,280,,Garo Hills (Meghalaya),Kangsha River,,,,,true,,Mymensingh,Netrokona,SW273 (Durgapur),,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0044,arial-khan,Arial Khan,আড়িয়াল খাঁ,,River,Distributary,,,,,,,,160,,300-1200,16,1800,,Padma River Off-take,Tentulia River / Bay of Bengal,,,,,false,,Dhaka / Barishal,Rajbari / Faridpur / Madaripur / Barishal,SW3 (Madaripur),,,,,,,,,,,,,Arial Khan,160,Faridpur (102) Barisal (58),https://en.banglapedia.org/index.php/River,,,,Banglapedia,https://en.banglapedia.org/index.php/River,1,,,,
BD-WB-0045,bhairab,Bhairab,ভৈরব,,River,Distributary,,,,,,,,160,,100-400,10,320,,Padma Off-take,Rupsa River,,,,,false,,Khulna,Meherpur / Chuadanga / Jhenaidah / Jashore / Khulna,"SW26 (Jashore), SW28 (Khulna)",,,,,,,,,,,,,Bhairab,250,"Jessore, Khulna",https://en.banglapedia.org/index.php/River,,,,Banglapedia,https://en.banglapedia.org/index.php/River,1,,,,
BD-WB-0046,chitra,Chitra,চিত্রা,,River,Distributary,,,,,,,,170,,60-180,7,160,,Nabaganga Off-take,Nabaganga River,,,,,false,,Khulna,Chuadanga / Jhenaidah / Magura / Narail,SW64 (Narail),,,,,,,,,,,,,Chitra,170,Kushtia (19) Jessore (151),https://en.banglapedia.org/index.php/River,,,,Banglapedia,https://en.banglapedia.org/index.php/River,1,,,,
BD-WB-0047,dhaleshwari,Dhaleshwari,ধলেশ্বরী,,River,Distributary,,,,,,,,160,,200-800,15,1200,,Jamuna Off-take,Meghna River,,,,,false,,Dhaka,Tangail / Manikganj / Dhaka / Narayanganj,"SW87 (Rekabi Bazar), SW88 (Jagannathpur)",,,,,,,,,,,,,Dhaleshwari,160,"Mymensingh, Dhaka",https://en.banglapedia.org/index.php/River,,,,Banglapedia,https://en.banglapedia.org/index.php/River,1,,,,
BD-WB-0048,gorai,Gorai,গড়াই,,River,Distributary,,,,,,,,210,,250-800,15,1300,,Padma River Off-take,Madhumati River / Rupsa-Pasur,,,,,false,,Khulna / Dhaka,Kushtia / Jhenaidah / Magura / Rajbari / Faridpur,"SW99 (Gorai Railway Bridge), SW101 (Kamarkhali)",,,,,,,,,,,,,Gorai-Madhumati-Baleshwar,371,"Kushtia (37), Faridpur (71), Jessore (92), Khulna (104), Barisal (67)",https://en.banglapedia.org/index.php/River,,,,Banglapedia,https://en.banglapedia.org/index.php/River,1,,,,
BD-WB-0049,kopotakho-kabadak,Kopotakho (Kabadak),কপোতাক্ষ,,River,Distributary,,,,,,,,180,,80-300,9,210,,Bhairab Off-take,Arpangachhia River / Sundarbans,,,,,false,,Khulna,Jhenaidah / Jashore / Satkhira,"SW162 (Tala), SW164 (Paikgacha)",,,,,,,,,,,,,Kobadak,260,Jessore (80) Khulna (180),https://en.banglapedia.org/index.php/River,,,,Banglapedia,https://en.banglapedia.org/index.php/River,1,,,,
BD-WB-0050,mathabhanga,Mathabhanga,মাথাভাঙ্গা,,River,Distributary,,,,,,,,121,,100-250,8,240,,Padma Off-take,Bhairab / Kumar River,,,,,true,,Khulna,Kushtia / Chuadanga,SW199 (Munshiganj),,,,,,,,,,,,,Mathabhanga,156,"Rajshahi (16), Kushtia (140)",https://en.banglapedia.org/index.php/River,,,,Banglapedia,https://en.banglapedia.org/index.php/River,1,,,,
BD-WB-0051,nabaganga,Nabaganga,নবগঙ্গা,,River,Distributary,,,,,,,,230,,80-250,9,280,,Mathabhanga Off-take,Chitra / Rupsa network,,,,,false,,Khulna,Jhenaidah / Magura / Narail,SW214 (Magura),,,,,,,,,,,,,Nabaganga,230,Kushtia (26) Jessore (204),https://en.banglapedia.org/index.php/River,,,,Banglapedia,https://en.banglapedia.org/index.php/River,1,,,,
BD-WB-0052,old-brahmaputra,Old Brahmaputra,পুরাতন ব্রহ্মপুত্র,,River,Distributary,,,,,,,,240,,100-500,12,600,,Jamuna Off-take (Dewanganj),Meghna River (at Bhairab),,,,,false,,Mymensingh / Dhaka,Jamalpur / Mymensingh / Kishoreganj / Narsingdi,"SW228 (Mymensingh), SW231 (Bhairab Bazar)",,,,,,,,,,,,,Old Brahmaputra,276,Mymensingh (276),https://en.banglapedia.org/index.php/River,,,,Banglapedia,https://en.banglapedia.org/index.php/River,1,,,,
BD-WB-0053,bangali,Bangali,বাঙালী,,River,Distributary / Tributary,,,,,,,,183,,100-300,9,400,,Teesta / Karatoa network,Jamuna River,,,,,false,,Rajshahi / Rangpur,Gaibandha / Bogura / Sirajganj,SW11A (Shariakandi),,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0054,buriganga,Buriganga,বুড়িগঙ্গা,,River,Distributary / Urban River,,,,,,,,27,,100-300,12,180,,Dhaleshwari Off-take,Dhaleshwari River,,,,,false,,Dhaka,Dhaka / Narayanganj,SW42 (Dhaka - Mill Barrack),,,,,,,,,,,,,Buriganga,27,Dhaka (27),https://en.banglapedia.org/index.php/River,,,,Banglapedia,https://en.banglapedia.org/index.php/River,1,,,,
BD-WB-0055,shitalakshya,Shitalakshya,শীতলক্ষ্যা,,River,Distributary / Urban River,,,,,,,,110,,150-400,18,400,,Old Brahmaputra Off-take,Dhaleshwari River,,,,,false,,Dhaka,Gazipur / Narsingdi / Narayanganj,"SW263 (Demra), SW265 (Narayanganj)",,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0056,turag,Turag,তুরাগ,,River,Distributary / Urban River,,,,,,,,64,,50-150,8,110,,Bangshi River,Buriganga River,,,,,false,,Dhaka,Gazipur / Dhaka,SW299 (Mirpur),,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0057,kushiyara,Kushiyara,কুশিয়ারা,,River,Major Branch / Network,,,,,,,,228,,200-400,20,1500,,Barak River Off-take (Amalshid),Meghna River (Confluence with Surma),,,,,true,,Sylhet,Sylhet / Moulvibazar / Habiganj / Sunamganj,"SW173 (Sherpur), SW175 (Markuli)",,,,,,,,,,,,,Kushiyara,228,Sylhet (228),https://en.banglapedia.org/index.php/River,,,,Banglapedia,https://en.banglapedia.org/index.php/River,1,,,,
BD-WB-0058,surma,Surma,সুরমা,,River,Major Branch / Network,,,,,,,,249,,150-300,18,1200,,Barak River Off-take (Amalshid),Meghna River (Confluence with Kushiyara),,,,,true,,Sylhet,Sylhet / Sunamganj / Kishoreganj,"SW267 (Sylhet), SW269 (Sunamganj)",,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0059,begabati,Begabati,বেগবতী,,River,River (Seasonal),,Magura,Magura Sadar,,,,,53,,32,,,,"Lowland in Jhenaidah Sadar, Jhenaidah",Fatki River,,,Seasonal,,false,,,Jhenaidah; Magura,SW21 (Arpara),,,,,,,,,,,,,Begabati River,39,Jhenaidah; Magura,,,,,,,,,,,
BD-WB-0060,bhadra,Bhadra,ভদ্রা,,River,River (Seasonal),,Jessore; Khulna,Keshabpur; Dacope; Dumuria,,,,,193,,,,,,"Kobadak (Kapotaksa) near Jhikargachha, Jashore",Pasur–Shibsa confluence,,,Seasonal,,false,,,Jashore; Khulna,SW27 (Keshabpur); SW29 (Sutarkhali_Forest Office); SW28 (Dumuria),,,,,,,,,,,,,Bhadra,193,Jessore (58) Khulna (135),https://en.banglapedia.org/index.php/River,,,,Banglapedia,https://en.banglapedia.org/index.php/River,1,,,,
BD-WB-0061,dhala,Dhala,ধলা,,River,River (Seasonal),,Sylhet,Companiganj,,,,,13,,158,,,,"Eastern hills of Tripura, India",Piyain-Sylhet-Sunamganj River,,,Seasonal,,true,Tripura Hills; India,,Sylhet,SW332 (Islampur),,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0062,dhepa,Dhepa,ধেপা,,River,River (Seasonal),,Dinajpur,Kaharole,,,,,40,,,,,,"Right bank of the Atrai near Mohanpur, Dinajpur",Punarbhaba River,,,Seasonal,,false,,,Dinajpur,SW78 (Kantanagar),,,,,,,,,,,,,Dhepa River,40,Dinajpur,,,,,,,,,,,
BD-WB-0063,ghoramara,Ghoramara,ঘোড়ামারা,,River,River (Seasonal),,Panchagarh,Panchagarh Sadar,,,,,,,,,,,India,,,,Seasonal,,true,India,,Panchagarh; Nilphamari,SW305.5 (Ghoramaraghat),,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0064,hawrah,Hawrah,হাওড়া,,River,River (Seasonal),,Brahmanbaria,Akhaura,,,,,10,,41,,,,"Tripura, India",Titas River,,,Seasonal,,true,Tripura Hills; India,,Brahmanbaria,SW123 (Gangasagar Rly.),,,,,,,,,,,,,Hawrah River,31,Brahmanbaria,SW258 (Mandi),,,,Banglapedia,SW258 (Mandi),1,,,,
BD-WB-0065,jhenai,Jhenai,ঝিনাই,,River,River (Seasonal),,Jamalpur; Tangail,Melandaha; Sarishabari; Kalihati,,,,,18,,,,,,"Old Brahmaputra River near Kalihati, Tangail",Brahmaputra-Jamuna River,,,Seasonal,,false,,,Tangail; Jamalpur,SW134B (Offtake of Jhenai); SW134A (Baushi Bridge); SW134 (Jukerchar),,,,,,,,,,,,,Jhenai River,100,Mymensingh; Tangail,Jamuna River,,,,Banglapedia,Jamuna River,1,,,,
BD-WB-0066,kakri,Kakri,কাকড়ী,,River,River (Seasonal),,Cumilla,Chauddagram,,,,,,,,,,,"Tripura Hills, India",Meghna River system,,,Seasonal,,true,Tripura; India,,Cumilla,SW334 (Miar Bazar),,,,,,,,,,,,,Kakri River,15,Comilla,,,,,,,,,,,
BD-WB-0067,nitai,Nitai,নিতাই,,River,River (Seasonal),,Mymensingh,Dhobaura,,,,,,,,,,,India,,,,Seasonal,,true,Meghalaya; India,,Mymensingh,SW314 (Ghosegaon),,,,,,,,,,,,,Nitai River,25,Mymensingh,,,,,,,,,,,
BD-WB-0068,pagla,Pagla,পাগলা,,River,River (Seasonal),,Nawabganj,Shibganj,,,,,,,,,,,Offshoot of the Meghna River,Meghna River system,,,Seasonal,,true,West Bengal; India,,Rajshahi,SW338 (Cansart); SW338.5 (Ramkrishnapur),,,,,,,,,,,,,Pagla River,35,Maldah (India); Rajshahi,,,,,,,,,,,
BD-WB-0069,sonai-bardal,Sonai-Bardal,সোনাই-বরদল,,River,River (Seasonal),,Sylhet,Fenchuganj,,,,,46,,81,,,,"India–Kushiyara system near Beani Bazar, Sylhet",Juri River,,,Seasonal,,true,Tripura Hills; India,,Sylhet; Moulvibazar,SW265 (Jaldhup),,,,,,,,,,,,,Sonai-Bardal River,20,Sylhet,,,,,,,,,,,
BD-WB-0070,tangon,Tangon,টাংগন,,River,River (Seasonal),,Dinajpur; Thakurgaon,Bochaganj; Thakurgaon,,,,,,,,,,,"West Bengal, India",Punarbhaba River,,,Seasonal,,true,West Bengal; India,,Panchagarh; Thakurgaon; Dinajpur,SW287 (Kodalkatigaon); SW285 (Thakurgaon); SW284 (Raniganj),,,,,,,,,,,,,Tangon River,70,Dinajpur; Thakurgaon,,,,,,,,,,,
BD-WB-0071,tongi-khal,Tongi Khal,টংগী খাল,,River,River (Seasonal),,Dhaka,Uttara,,,,,,,,,,,Lowland around Dhaka,Balu River,,,Seasonal,,false,,,Dhaka,SW299 (Tongi),,,,,,,,,,,,,Tongi Khal,15,Dhaka,Turag River,,,,Banglapedia,Turag River,1,,,,
BD-WB-0072,brahmaputra-jamuna,Brahmaputra-Jamuna,ব্রহ্মপুত্র-যমুনা,,River,River (Perennial),,Bogura; Gaibandha; Jamalpur; Kurigram; Manikganj; Pabna; Sirajganj; Tangail,Shariakandi; Fulchhari; Saghatta; Islampur; Sarishabari; Chilmari; Kurigram Sadar; Ulipur; Shivalaya; Bera; Kazipur; Sirajganj Sadar; Tangail Sadar,,,,,276,,,,,,Himalaya/Tibet; enters Bangladesh as the Brahmaputra and becomes the Jamuna,Padma River at Goalanda Ghat,,,Perennial,,true,Tibet / India,,Sirajganj; Pabna; Tangail; Kurigram; Manikganj; Jamalpur; Bogura; Gaibandha,SW15J (Mathurpara-Milanpur); SW46.7R (Kristomonichar); SW46.9R (Fulchari_Transit); SW46 (Kamarjani); SW47.3R (Patilbarichar); SW46.5 (Saghata); SW47.3L (Jognaichar); SW47 (Bahadurabad); SW46.9L (Bahadurabad_Transit); SW48 (Jaganathganj); SW45.5 (Chilmari); SW45 (Noonkhawa); SW45A (Hatia (Ulipur)); SW50.6 (Aricha); SW50.3 (Mathura); SW49A (Kazipur); SW49 (Sirajganj); SW50 (Porabari),,,,,,,,,,,,,Brahmaputra-Jamuna (Jamuna 207),276,Rangpur (140) Pabna (136),https://en.banglapedia.org/index.php/River,,,,Banglapedia,https://en.banglapedia.org/index.php/River,1,,,,
BD-WB-0073,dakatia,Dakatia,ডাকাতিয়া,,River,River (Perennial),,Chandpur,Hajiganj,,,,,207,,,,,,"Chauddagram Khal, connected to the Little Feni, Cumilla",Meghna River,,,Perennial,,false,,,Cumilla; Chandpur; Noakhali,SW58A (Laksam); SW58 (Hajiganj),,,,,,,,,,,,,Dakatia,207,Comilla (180) Noakhali (27),https://en.banglapedia.org/index.php/River,,,,Banglapedia,https://en.banglapedia.org/index.php/River,1,,,,
BD-WB-0074,dhanagoda,Dhanagoda,ধনাগোদা,,River,River (Perennial),,Chandpur,Matlab Uttar,,,,,,,,,,,Offshoot of the Meghna River,Meghna River,,,Perennial,,false,,,Chandpur,SW79 (Matlab Bazar),,,,,,,,,,,,,Dhanagoda River,65,Comilla,,,,,,,,,,,
